# x	y	u	v	mask
  3.6987	  5.1492	     nan	     nan	  1.0000
  3.7712	  5.1492	     nan	     nan	  1.0000
  3.8438	  5.1492	     nan	     nan	  1.0000
  3.9163	  5.1492	     nan	     nan	  1.0000
  3.9888	  5.1492	     nan	     nan	  1.0000
  4.0613	  5.1492	     nan	     nan	  1.0000
  4.1339	  5.1492	     nan	     nan	  1.0000
  4.2064	  5.1492	     nan	     nan	  1.0000
  4.2789	  5.1492	     nan	     nan	  1.0000
  4.3514	  5.1492	     nan	     nan	  1.0000
  4.4240	  5.1492	     nan	     nan	  1.0000
  4.4965	  5.1492	     nan	     nan	  1.0000
  4.5690	  5.1492	     nan	     nan	  1.0000
  4.6415	  5.1492	     nan	     nan	  1.0000
  4.7140	  5.1492	     nan	     nan	  1.0000
  4.7866	  5.1492	     nan	     nan	  1.0000
  4.8591	  5.1492	     nan	     nan	  1.0000
  4.9316	  5.1492	     nan	     nan	  1.0000
  5.0041	  5.1492	     nan	     nan	  1.0000
  5.0767	  5.1492	     nan	     nan	  1.0000
  5.1492	  5.1492	     nan	     nan	  1.0000
  5.2217	  5.1492	     nan	     nan	  1.0000
  0.0725	  5.0767	     nan	     nan	  1.0000
  0.1450	  5.0767	     nan	     nan	  1.0000
  0.2176	  5.0767	     nan	     nan	  1.0000
  0.2901	  5.0767	     nan	     nan	  1.0000
  0.3626	  5.0767	     nan	     nan	  1.0000
  0.4351	  5.0767	     nan	     nan	  1.0000
  0.5077	  5.0767	     nan	     nan	  1.0000
  0.5802	  5.0767	     nan	     nan	  1.0000
  0.6527	  5.0767	     nan	     nan	  1.0000
  0.7252	  5.0767	     nan	     nan	  1.0000
  0.7978	  5.0767	     nan	     nan	  1.0000
  0.8703	  5.0767	     nan	     nan	  1.0000
  0.9428	  5.0767	     nan	     nan	  1.0000
  1.0153	  5.0767	     nan	     nan	  1.0000
  1.0879	  5.0767	     nan	     nan	  1.0000
  1.1604	  5.0767	     nan	     nan	  1.0000
  1.2329	  5.0767	     nan	     nan	  1.0000
  1.3054	  5.0767	     nan	     nan	  1.0000
  1.3780	  5.0767	     nan	     nan	  1.0000
  1.4505	  5.0767	     nan	     nan	  1.0000
  1.5230	  5.0767	     nan	     nan	  1.0000
  1.5955	  5.0767	     nan	     nan	  1.0000
  1.6680	  5.0767	     nan	     nan	  1.0000
  1.7406	  5.0767	     nan	     nan	  1.0000
  1.8131	  5.0767	     nan	     nan	  1.0000
  1.8856	  5.0767	     nan	     nan	  1.0000
  1.9581	  5.0767	     nan	     nan	  1.0000
  2.0307	  5.0767	     nan	     nan	  1.0000
  2.1032	  5.0767	     nan	     nan	  1.0000
  2.1757	  5.0767	     nan	     nan	  1.0000
  2.2482	  5.0767	     nan	     nan	  1.0000
  2.3208	  5.0767	     nan	     nan	  1.0000
